date,payrolls_nsa,payrolls_sa,implied_sa_factors,prediction_nsa,prediction_sa_factors,forecast_sa
1/1/90,-2093,335,-2428,,,
2/1/90,496,248,248,,,
3/1/90,655,215,440,,,
4/1/90,641,40,601,,,
5/1/90,905,153,752,,,
6/1/90,567,25,542,,,
7/1/90,-1269,-36,-1233,,,
8/1/90,-118,-210,92,,,
9/1/90,595,-102,697,,,
10/1/90,197,-147,344,,,
11/1/90,-37,-150,113,,,
12/1/90,-229,-57,-172,,,
1/1/91,-2550,-121,-2429,,,
2/1/91,-32,-307,275,,,
3/1/91,289,-158,447,,,
4/1/91,389,-212,601,,,
5/1/91,682,-116,798,,,
6/1/91,481,88,393,,,
7/1/91,-1202,-40,-1162,,,
8/1/91,92,17,75,,,
9/1/91,717,20,697,,,
10/1/91,370,25,345,,,
11/1/91,17,-56,73,,,
12/1/91,-116,22,-138,,,
1/1/92,-2387,49,-2436,,,
2/1/92,253,-57,310,,,
3/1/92,519,52,467,,,
4/1/92,835,157,678,,,
5/1/92,807,127,680,,,
6/1/92,489,65,424,,,
7/1/92,-1018,74,-1092,,,
8/1/92,56,135,-79,,,
9/1/92,785,32,753,,,
10/1/92,587,186,401,,,
11/1/92,241,132,109,,,
12/1/92,-11,217,-228,,,
1/1/93,-2166,310,-2476,,,
2/1/93,603,247,356,,,
3/1/93,434,-54,488,,,
4/1/93,1004,307,697,,,
5/1/93,963,269,694,,,
6/1/93,591,176,415,,,
7/1/93,-869,306,-1175,,,
8/1/93,111,155,-44,,,
9/1/93,989,245,744,,,
10/1/93,667,286,381,,,
11/1/93,343,250,93,,,
12/1/93,150,323,-173,,,
1/1/94,-2250,276,-2526,,,
2/1/94,580,198,382,,,
3/1/94,975,461,514,,,
4/1/94,1080,347,733,,,
5/1/94,1012,333,679,,,
6/1/94,790,319,471,,,
7/1/94,-945,370,-1315,,,
8/1/94,308,282,26,,,
9/1/94,1060,360,700,,,
10/1/94,625,209,416,,,
11/1/94,608,407,201,,,
12/1/94,38,292,-254,,,
1/1/95,-2308,327,-2635,,,
2/1/95,658,198,460,,,
3/1/95,756,219,537,,,
4/1/95,833,162,671,,,
5/1/95,723,-17,740,,,
6/1/95,716,240,476,,,
7/1/95,-1235,92,-1327,,,
8/1/95,264,252,12,,,
9/1/95,915,252,663,,,
10/1/95,601,152,449,,,
11/1/95,239,146,93,,,
12/1/95,-2,132,-134,,,
1/1/96,-2699,-13,-2686,,,
2/1/96,939,425,514,,,
3/1/96,805,265,540,,,
4/1/96,838,165,673,,,
5/1/96,1127,326,801,,,
6/1/96,664,281,383,,,
7/1/96,-1037,251,-1288,,,
8/1/96,292,185,107,,,
9/1/96,745,213,532,,,
10/1/96,720,261,459,,,
11/1/96,460,295,165,,,
12/1/96,-21,171,-192,,,
1/1/97,-2542,231,-2773,,,
2/1/97,861,308,553,,,
3/1/97,883,312,571,,,
4/1/97,975,292,683,,,
5/1/97,1081,263,818,,,
6/1/97,649,264,385,,,
7/1/97,-984,303,-1287,,,
8/1/97,68,-22,90,,,
9/1/97,1004,499,505,,,
10/1/97,903,344,559,,,
11/1/97,394,299,95,,,
12/1/97,138,318,-180,,,
1/1/98,-2551,272,-2823,,,
2/1/98,776,198,578,,,
3/1/98,723,145,578,,,
4/1/98,1041,280,761,,,
5/1/98,1084,402,682,,,
6/1/98,663,223,440,,,
7/1/98,-1072,130,-1202,,,
8/1/98,242,340,-98,,,
9/1/98,809,218,591,,,
10/1/98,779,201,578,,,
11/1/98,403,273,130,,,
12/1/98,169,367,-198,,,
1/1/99,-2751,117,-2868,,,
2/1/99,988,410,578,,,
3/1/99,713,107,606,,,
4/1/99,1146,372,774,,,
5/1/99,868,211,657,,,
6/1/99,727,264,463,,,
7/1/99,-870,328,-1198,,,
8/1/99,56,154,-98,,,
9/1/99,778,225,553,,,
10/1/99,935,394,541,,,
11/1/99,461,289,172,,,
12/1/99,136,310,-174,,,
1/1/00,-2641,218,-2859,,,
2/1/00,662,131,531,,,
3/1/00,1097,467,630,,,
4/1/00,998,293,705,,,
5/1/00,956,219,737,,,
6/1/00,512,-36,548,,,
7/1/00,-1219,173,-1392,,,
8/1/00,12,-15,27,,,
9/1/00,667,144,523,,,
10/1/00,559,-15,574,,,
11/1/00,365,222,143,,,
12/1/00,-59,137,-196,,,
1/1/01,-2874,-25,-2849,,,
2/1/01,667,74,593,,,
3/1/01,594,-28,622,,,
4/1/01,407,-279,686,,,
5/1/01,707,-41,748,,,
6/1/01,379,-121,500,,,
7/1/01,-1489,-108,-1381,,,
8/1/01,-70,-146,76,,,
9/1/01,266,-250,516,,,
10/1/01,202,-328,530,,,
11/1/01,-189,-297,108,,,
12/1/01,-382,-177,-205,,,
1/1/02,-2883,-149,-2734,,,
2/1/02,472,-128,600,,,
3/1/02,607,-17,624,,,
4/1/02,589,-83,672,,,
5/1/02,771,17,754,,,
6/1/02,382,51,331,,,
7/1/02,-1441,-77,-1364,,,
8/1/02,86,-7,93,,,
9/1/02,519,-67,586,,,
10/1/02,671,113,558,,,
11/1/02,121,6,115,,,
12/1/02,-408,-170,-238,,,
1/1/03,-2682,107,-2789,,,
2/1/03,417,-146,563,,,
3/1/03,496,-208,704,,,
4/1/03,658,-49,707,,,
5/1/03,761,11,750,,,
6/1/03,330,-7,337,,,
7/1/03,-1340,19,-1359,,,
8/1/03,54,-46,100,,,
9/1/03,655,110,545,,,
10/1/03,793,205,588,,,
11/1/03,164,3,161,,,
12/1/03,-180,121,-301,,,
1/1/04,-2659,167,-2826,,,
2/1/04,611,58,553,,,
3/1/04,1041,328,713,,,
4/1/04,1116,254,862,,,
5/1/04,903,297,606,,,
6/1/04,446,82,364,,,
7/1/04,-1161,45,-1206,,,
8/1/04,20,116,-96,,,
9/1/04,715,157,558,,,
10/1/04,981,348,633,,,
11/1/04,251,63,188,,,
12/1/04,-231,126,-357,,,
1/1/05,-2705,147,-2852,,,
2/1/05,823,244,579,,,
3/1/05,840,138,702,,,
4/1/05,1213,358,855,,,
